passes,carries,take_ons,cards_red,pens_att,team,shots,assists,xg_assist,shots_on_target,touches,npxg,game_started,position,round,goals,dayofweek,bench_explain,passes_pct,tackles,opponent,blocks,xg,sca,progressive_carries,date,minutes,venue,take_ons_won,result,progressive_passes,match_report,pens_made,cards_yellow,comp,passes_completed,interceptions,gca
,,,,,"<a href=""/en/squads/a2d435b3/2024-2025/Leicester-City-Stats"">Leicester City</a>",,,,,,,N,,Matchweek 1,,Mon,"On matchday squad, but did not play",,,Tottenham,,,,,2024-08-19,,Home,,D 1–1,,,,,Premier League,,,
,,,,,"<a href=""/en/squads/a2d435b3/2024-2025/Leicester-City-Stats"">Leicester City</a>",,,,,,,N,,Matchweek 2,,Sat,"On matchday squad, but did not play",,,Fulham,,,,,2024-08-24,,Away,,L 1–2,,,,,Premier League,,,
3,0,0,0,0,"<a href=""/en/squads/a2d435b3/2024-2025/Leicester-City-Stats"">Leicester City</a>",0,0,0.0,0,5,0.0,N,"CM,AM",Matchweek 4,0,Sat,,0.0,0,Crystal Palace,0,0.0,0,0,2024-09-14,15,Away,0,D 2–2,0,,0,0,Premier League,0,1,0
,,,,,"<a href=""/en/squads/a2d435b3/2024-2025/Leicester-City-Stats"">Leicester City</a>",,,,,,,N,,Matchweek 5,,Sat,"On matchday squad, but did not play",,,Everton,,,,,2024-09-21,,Home,,D 1–1,,,,,Premier League,,,
,,,,,"<a href=""/en/squads/a2d435b3/2024-2025/Leicester-City-Stats"">Leicester City</a>",,,,,,,N,,Matchweek 6,,Sat,"On matchday squad, but did not play",,,Arsenal,,,,,2024-09-28,,Away,,L 2–4,,,,,Premier League,,,
,,,,,"<a href=""/en/squads/a2d435b3/2024-2025/Leicester-City-Stats"">Leicester City</a>",,,,,,,N,,Matchweek 11,,Sun,"On matchday squad, but did not play",,,Manchester Utd,,,,,2024-11-10,,Away,,L 0–3,,,,,Premier League,,,
,,,,,"<a href=""/en/squads/a2d435b3/2024-2025/Leicester-City-Stats"">Leicester City</a>",,,,,,,N,,Matchweek 12,,Sat,"On matchday squad, but did not play",,,Chelsea,,,,,2024-11-23,,Home,,L 1–2,,,,,Premier League,,,
,,,,,"<a href=""/en/squads/a2d435b3/2024-2025/Leicester-City-Stats"">Leicester City</a>",,,,,,,N,,Matchweek 13,,Sat,"On matchday squad, but did not play",,,Brentford,,,,,2024-11-30,,Away,,L 1–4,,,,,Premier League,,,
,,,,,"<a href=""/en/squads/a2d435b3/2024-2025/Leicester-City-Stats"">Leicester City</a>",,,,,,,N,,Matchweek 15,,Sun,"On matchday squad, but did not play",,,Brighton,,,,,2024-12-08,,Home,,D 2–2,,,,,Premier League,,,
33,30,1,0,0,"<a href=""/en/squads/a2d435b3/2024-2025/Leicester-City-Stats"">Leicester City</a>",0,0,0.1,0,37,0.0,Y,DM,Matchweek 16,0,Sat,,84.8,0,Newcastle Utd,1,0.0,2,2,2024-12-14,58,Away,1,L 0–4,1,,0,0,Premier League,28,0,0
30,20,2,0,0,"<a href=""/en/squads/a2d435b3/2024-2025/Leicester-City-Stats"">Leicester City</a>",0,0,0.3,0,36,0.0,N,RB,Matchweek 17,0,Sun,,100.0,1,Wolves,1,0.0,1,0,2024-12-22,37,Home,1,L 0–3,2,,0,0,Premier League,30,2,0
,,,,,"<a href=""/en/squads/a2d435b3/2024-2025/Leicester-City-Stats"">Leicester City</a>",,,,,,,N,,Matchweek 18,,Thu,"On matchday squad, but did not play",,,Liverpool,,,,,2024-12-26,,Away,,L 1–3,,,,,Premier League,,,
18,13,1,0,0,"<a href=""/en/squads/a2d435b3/2024-2025/Leicester-City-Stats"">Leicester City</a>",0,0,0.0,0,22,0.0,N,RB,Matchweek 19,0,Sun,,77.8,0,Manchester City,2,0.0,0,2,2024-12-29,21,Home,1,L 0–2,0,,0,0,Premier League,14,2,0
,,,,,"<a href=""/en/squads/a2d435b3/2024-2025/Leicester-City-Stats"">Leicester City</a>",,,,,,,N,,Matchweek 20,,Sat,"On matchday squad, but did not play",,,Aston Villa,,,,,2025-01-04,,Away,,L 1–2,,,,,Premier League,,,
,,,,,"<a href=""/en/squads/a2d435b3/2024-2025/Leicester-City-Stats"">Leicester City</a>",,,,,,,N,,Matchweek 21,,Wed,"On matchday squad, but did not play",,,Crystal Palace,,,,,2025-01-15,,Home,,L 0–2,,,,,Premier League,,,
