dayofweek,game_started,passes_pct,take_ons,shots_on_target,progressive_carries,date,goals,round,npxg,shots,position,blocks,take_ons_won,pens_att,comp,tackles,bench_explain,cards_yellow,pens_made,passes,cards_red,passes_completed,venue,carries,minutes,result,assists,touches,progressive_passes,gca,xg,team,xg_assist,opponent,match_report,sca,interceptions
Sun,N,85.7,1,1,0,2023-08-27,1,Matchweek 3,0.1,1,WB,0,1,0,Premier League,1,,0,0,7,0,6,Home,3,20,L 1–2,0,11,0,0,0.1,"<a href=""/en/squads/1df6b87e/2023-2024/Sheffield-United-Stats"">Sheffield Utd</a>",0.0,Manchester City,,0,0
Sat,N,,,,,2023-09-02,,Matchweek 4,,,,,,,Premier League,,"On matchday squad, but did not play",,,,,,Home,,,D 2–2,,,,,,"<a href=""/en/squads/1df6b87e/2023-2024/Sheffield-United-Stats"">Sheffield Utd</a>",,Everton,,,
Sat,Y,70.0,0,0,1,2023-09-16,0,Matchweek 5,0.0,0,WB,0,0,0,Premier League,0,,0,0,20,0,14,Away,16,85,L 1–2,0,26,0,0,0.0,"<a href=""/en/squads/1df6b87e/2023-2024/Sheffield-United-Stats"">Sheffield Utd</a>",0.2,Tottenham,,1,1
Sun,Y,80.0,1,0,1,2023-09-24,0,Matchweek 6,0.0,0,WB,0,0,0,Premier League,0,,0,0,20,0,16,Home,11,45,L 0–8,0,25,2,0,0.0,"<a href=""/en/squads/1df6b87e/2023-2024/Sheffield-United-Stats"">Sheffield Utd</a>",0.1,Newcastle Utd,,3,2
Sat,Y,75.0,2,0,1,2023-09-30,0,Matchweek 7,0.1,1,WB,2,0,0,Premier League,1,,0,0,32,0,24,Away,22,78,L 0–2,0,41,2,0,0.1,"<a href=""/en/squads/1df6b87e/2023-2024/Sheffield-United-Stats"">Sheffield Utd</a>",0.0,West Ham,,1,0
Sat,Y,50.0,3,0,0,2023-10-07,0,Matchweek 8,0.4,1,WB,1,1,0,Premier League,0,,0,0,34,0,17,Away,14,90,L 1–3,0,46,1,0,0.4,"<a href=""/en/squads/1df6b87e/2023-2024/Sheffield-United-Stats"">Sheffield Utd</a>",0.0,Fulham,,0,3
Sat,Y,75.0,1,0,1,2023-10-21,0,Matchweek 9,0.0,0,RB,2,0,0,Premier League,0,,0,0,48,0,36,Home,18,90,L 1–2,0,55,1,0,0.0,"<a href=""/en/squads/1df6b87e/2023-2024/Sheffield-United-Stats"">Sheffield Utd</a>",0.0,Manchester Utd,,0,1
Sat,Y,85.7,0,0,0,2023-10-28,0,Matchweek 10,0.0,0,RB,0,0,0,Premier League,1,,1,0,21,0,18,Away,13,70,L 0–5,0,26,0,0,0.0,"<a href=""/en/squads/1df6b87e/2023-2024/Sheffield-United-Stats"">Sheffield Utd</a>",0.0,Arsenal,,0,0
Sat,Y,66.7,2,0,4,2023-11-04,0,Matchweek 11,0.0,2,WB,1,0,0,Premier League,5,,0,0,33,0,22,Home,21,90,W 2–1,0,46,4,0,0.0,"<a href=""/en/squads/1df6b87e/2023-2024/Sheffield-United-Stats"">Sheffield Utd</a>",0.0,Wolves,,1,0
Sun,Y,67.6,3,1,0,2023-11-12,0,Matchweek 12,0.3,4,WB,2,1,0,Premier League,0,,1,0,34,0,23,Away,30,89,D 1–1,0,54,1,0,0.3,"<a href=""/en/squads/1df6b87e/2023-2024/Sheffield-United-Stats"">Sheffield Utd</a>",0.0,Brighton,,1,2
