dayofweek,game_started,passes_pct,take_ons,shots_on_target,progressive_carries,date,goals,round,npxg,shots,position,blocks,take_ons_won,pens_att,comp,tackles,bench_explain,cards_yellow,pens_made,passes,cards_red,passes_completed,venue,carries,minutes,result,assists,touches,progressive_passes,gca,xg,team,xg_assist,opponent,match_report,sca,interceptions
Sat,N,75.0,0,0,1,2023-08-12,0,Matchweek 1,0.0,1,AM,0,0,0,Premier League,0,,0,0,8,0,6,Home,8,24,D 1–1,0,10,0,0,0.0,"<a href=""/en/squads/4ba7cbea/2023-2024/Bournemouth-Stats"">Bournemouth</a>",0.0,West Ham,,0,0
Sat,N,50.0,0,0,0,2023-08-19,0,Matchweek 2,0.2,1,FW,0,0,0,Premier League,0,,0,0,8,0,4,Away,2,28,L 1–3,0,9,1,0,0.2,"<a href=""/en/squads/4ba7cbea/2023-2024/Bournemouth-Stats"">Bournemouth</a>",0.0,Liverpool,,0,0
Sat,N,75.0,0,0,0,2023-08-26,0,Matchweek 3,0.0,0,FW,0,0,0,Premier League,0,,0,0,4,0,3,Home,0,5,L 0–2,0,4,1,0,0.0,"<a href=""/en/squads/4ba7cbea/2023-2024/Bournemouth-Stats"">Bournemouth</a>",0.0,Tottenham,,1,0
Sat,N,,,,,2023-09-02,,Matchweek 4,,,,,,,Premier League,,"On matchday squad, but did not play",,,,,,Away,,,D 2–2,,,,,,"<a href=""/en/squads/4ba7cbea/2023-2024/Bournemouth-Stats"">Bournemouth</a>",,Brentford,,,
Sat,N,,,,,2023-09-30,,Matchweek 7,,,,,,,Premier League,,"On matchday squad, but did not play",,,,,,Home,,,L 0–4,,,,,,"<a href=""/en/squads/4ba7cbea/2023-2024/Bournemouth-Stats"">Bournemouth</a>",,Arsenal,,,
Sat,N,55.6,1,1,0,2023-10-07,0,Matchweek 8,0.2,2,FW,0,0,0,Premier League,0,,0,0,9,0,5,Away,6,25,L 0–3,0,12,1,0,0.2,"<a href=""/en/squads/4ba7cbea/2023-2024/Bournemouth-Stats"">Bournemouth</a>",0.2,Everton,,3,0
Sat,N,100.0,1,0,0,2023-10-21,0,Matchweek 9,0.0,0,FW,0,0,0,Premier League,0,,0,0,3,0,3,Home,4,6,L 1–2,0,4,0,0,0.0,"<a href=""/en/squads/4ba7cbea/2023-2024/Bournemouth-Stats"">Bournemouth</a>",0.0,Wolves,,0,0
Sat,N,,,,,2023-10-28,,Matchweek 10,,,,,,,Premier League,,"On matchday squad, but did not play",,,,,,Home,,,W 2–1,,,,,,"<a href=""/en/squads/4ba7cbea/2023-2024/Bournemouth-Stats"">Bournemouth</a>",,Burnley,,,
Sat,N,,,,,2023-11-25,,Matchweek 13,,,,,,,Premier League,,"On matchday squad, but did not play",,,,,,Away,,,W 3–1,,,,,,"<a href=""/en/squads/4ba7cbea/2023-2024/Bournemouth-Stats"">Bournemouth</a>",,Sheffield Utd,,,
Sun,N,,,,,2023-12-03,,Matchweek 14,,,,,,,Premier League,,"On matchday squad, but did not play",,,,,,Home,,,D 2–2,,,,,,"<a href=""/en/squads/4ba7cbea/2023-2024/Bournemouth-Stats"">Bournemouth</a>",,Aston Villa,,,
Wed,N,75.0,1,1,0,2023-12-06,1,Matchweek 15,0.6,1,FW,0,1,0,Premier League,0,,0,0,4,0,3,Away,4,3,W 2–0,0,5,1,0,0.6,"<a href=""/en/squads/4ba7cbea/2023-2024/Bournemouth-Stats"">Bournemouth</a>",0.0,Crystal Palace,,0,0
Sat,N,,,,,2023-12-09,,Matchweek 16,,,,,,,Premier League,,"On matchday squad, but did not play",,,,,,Away,,,W 3–0,,,,,,"<a href=""/en/squads/4ba7cbea/2023-2024/Bournemouth-Stats"">Bournemouth</a>",,Manchester Utd,,,
Sat,N,50.0,0,0,0,2023-12-23,0,Matchweek 18,0.0,0,LW,0,0,0,Premier League,0,,0,0,4,0,2,Away,1,9,W 3–2,0,4,0,0,0.0,"<a href=""/en/squads/4ba7cbea/2023-2024/Bournemouth-Stats"">Bournemouth</a>",0.0,Nott'ham Forest,,0,0
Tue,N,,,,,2023-12-26,,Matchweek 19,,,,,,,Premier League,,"On matchday squad, but did not play",,,,,,Home,,,W 3–0,,,,,,"<a href=""/en/squads/4ba7cbea/2023-2024/Bournemouth-Stats"">Bournemouth</a>",,Fulham,,,
Sun,N,,,,,2023-12-31,,Matchweek 20,,,,,,,Premier League,,"On matchday squad, but did not play",,,,,,Away,,,L 1–3,,,,,,"<a href=""/en/squads/4ba7cbea/2023-2024/Bournemouth-Stats"">Bournemouth</a>",,Tottenham,,,
Sun,N,100.0,0,0,1,2024-01-21,0,Matchweek 21,0.4,1,FW,0,0,0,Premier League,0,,0,0,2,0,2,Home,4,8,L 0–4,0,5,0,0,0.4,"<a href=""/en/squads/4ba7cbea/2023-2024/Bournemouth-Stats"">Bournemouth</a>",0.0,Liverpool,,1,0
