dayofweek,game_started,passes_pct,take_ons,shots_on_target,progressive_carries,date,goals,round,npxg,shots,position,blocks,take_ons_won,pens_att,comp,tackles,bench_explain,cards_yellow,pens_made,passes,cards_red,passes_completed,venue,carries,minutes,result,assists,touches,progressive_passes,gca,xg,team,xg_assist,opponent,match_report,sca,interceptions
Sat,N,75.0,0,0,0,2023-08-19,0,Matchweek 2,0.0,0,RB,0,0,0,Premier League,0,,0,0,4,0,3,Home,2,5,L 0–3,0,5,0,0,0.0,"<a href=""/en/squads/fd962109/2023-2024/Fulham-Stats"">Fulham</a>",0.0,Brentford,,0,0
Sat,N,50.0,1,1,1,2023-08-26,0,Matchweek 3,0.2,1,"RW,CM",0,0,0,Premier League,0,,0,0,2,0,1,Away,5,20,D 2–2,0,7,0,0,0.2,"<a href=""/en/squads/fd962109/2023-2024/Fulham-Stats"">Fulham</a>",0.0,Arsenal,,0,0
Sat,N,,0,0,0,2023-09-02,0,Matchweek 4,0.0,0,RW,0,0,0,Premier League,0,,0,0,0,0,0,Away,1,10,L 1–5,0,1,0,0,0.0,"<a href=""/en/squads/fd962109/2023-2024/Fulham-Stats"">Fulham</a>",0.0,Manchester City,,0,0
Sun,N,83.3,2,0,1,2023-11-12,0,Matchweek 12,0.0,0,LW,0,2,0,Premier League,0,,0,0,6,0,5,Away,6,9,L 1–3,0,7,2,0,0.0,"<a href=""/en/squads/fd962109/2023-2024/Fulham-Stats"">Fulham</a>",0.0,Aston Villa,,0,0
Sat,N,50.0,1,0,0,2024-02-10,0,Matchweek 24,0.0,0,LW,0,0,0,Premier League,0,,0,0,2,0,1,Home,3,6,W 3–1,0,5,0,0,0.0,"<a href=""/en/squads/fd962109/2023-2024/Fulham-Stats"">Fulham</a>",0.0,Bournemouth,,0,0
Sat,N,66.7,1,1,1,2024-02-17,0,Matchweek 25,0.5,1,AM,0,1,0,Premier League,0,,1,0,3,0,2,Home,5,16,L 1–2,0,5,1,0,0.5,"<a href=""/en/squads/fd962109/2023-2024/Fulham-Stats"">Fulham</a>",0.0,Aston Villa,,0,0
Sat,N,83.3,2,0,1,2024-02-24,0,Matchweek 26,0.0,0,DM,0,1,0,Premier League,0,,0,0,6,0,5,Away,6,14,W 2–1,1,9,2,2,0.0,"<a href=""/en/squads/fd962109/2023-2024/Fulham-Stats"">Fulham</a>",0.1,Manchester Utd,,3,0
Sat,N,50.0,0,1,1,2024-03-02,1,Matchweek 27,0.4,1,RW,0,0,0,Premier League,1,,0,0,2,0,1,Home,2,7,W 3–0,0,4,0,0,0.4,"<a href=""/en/squads/fd962109/2023-2024/Fulham-Stats"">Fulham</a>",0.0,Brighton,,0,0
Sat,N,85.7,2,1,0,2024-03-09,0,Matchweek 28,0.1,2,"WB,RW",0,1,0,Premier League,1,,0,0,7,0,6,Away,9,21,L 1–2,0,11,0,0,0.1,"<a href=""/en/squads/fd962109/2023-2024/Fulham-Stats"">Fulham</a>",0.2,Wolves,,3,0
Sat,N,,,,,2024-03-16,,Matchweek 29,,,,,,,Premier League,,"On matchday squad, but did not play",,,,,,Home,,,W 3–0,,,,,,"<a href=""/en/squads/fd962109/2023-2024/Fulham-Stats"">Fulham</a>",,Tottenham,,,
