dayofweek,game_started,passes_pct,take_ons,shots_on_target,progressive_carries,date,goals,round,npxg,shots,position,blocks,take_ons_won,pens_att,comp,tackles,cards_yellow,pens_made,passes,cards_red,passes_completed,venue,carries,minutes,result,assists,touches,progressive_passes,gca,xg,team,xg_assist,opponent,match_report,sca,interceptions
Sat,N,71.4,1,0,2,2023-09-02,0,Matchweek 4,0.0,0,RW,0,1,0,Premier League,0,1,0,7,0,5,Home,6,14,W 3–1,0,7,0,0,0.0,"<a href=""/en/squads/d07537b9/2023-2024/Brighton-and-Hove-Albion-Stats"">Brighton</a>",0.0,Newcastle Utd,,0,1
Sat,Y,85.4,2,0,8,2023-09-16,0,Matchweek 5,0.0,1,LB,0,1,0,Premier League,1,1,0,48,0,41,Away,31,76,W 3–1,2,53,2,2,0.0,"<a href=""/en/squads/d07537b9/2023-2024/Brighton-and-Hove-Albion-Stats"">Brighton</a>",0.4,Manchester Utd,,3,0
Sun,N,100.0,1,0,0,2023-09-24,0,Matchweek 6,0.0,0,RW,0,0,0,Premier League,0,0,0,3,0,3,Home,4,4,W 3–1,0,6,0,0,0.0,"<a href=""/en/squads/d07537b9/2023-2024/Brighton-and-Hove-Albion-Stats"">Brighton</a>",0.0,Bournemouth,,0,0
Sat,N,95.0,3,0,1,2023-09-30,0,Matchweek 7,0.0,0,LB,0,3,0,Premier League,2,0,0,40,0,38,Away,31,45,L 1–6,0,45,4,0,0.0,"<a href=""/en/squads/d07537b9/2023-2024/Brighton-and-Hove-Albion-Stats"">Brighton</a>",0.0,Aston Villa,,0,1
Sat,Y,68.2,0,0,1,2023-11-25,0,Matchweek 13,0.0,0,LB,0,0,0,Premier League,0,0,0,22,0,15,Away,17,34,W 3–2,0,23,1,0,0.0,"<a href=""/en/squads/d07537b9/2023-2024/Brighton-and-Hove-Albion-Stats"">Brighton</a>",0.0,Nott'ham Forest,,0,0
Mon,N,81.3,1,0,0,2024-01-22,0,Matchweek 21,0.0,0,RW,0,0,0,Premier League,0,0,0,16,0,13,Home,10,26,D 0–0,0,18,1,0,0.0,"<a href=""/en/squads/d07537b9/2023-2024/Brighton-and-Hove-Albion-Stats"">Brighton</a>",0.0,Wolves,,0,0
Tue,N,66.7,0,0,0,2024-01-30,0,Matchweek 22,0.3,1,WB,0,0,0,Premier League,0,0,0,15,0,10,Away,8,45,L 0–4,0,19,0,0,0.3,"<a href=""/en/squads/d07537b9/2023-2024/Brighton-and-Hove-Albion-Stats"">Brighton</a>",0.0,Luton Town,,1,0
Sat,Y,90.9,2,0,2,2024-02-03,0,Matchweek 23,0.1,1,WB,0,1,0,Premier League,1,0,0,33,0,30,Home,33,79,W 4–1,1,41,0,1,0.1,"<a href=""/en/squads/d07537b9/2023-2024/Brighton-and-Hove-Albion-Stats"">Brighton</a>",0.1,Crystal Palace,,4,2
Sat,Y,81.4,1,0,2,2024-02-10,0,Matchweek 24,0.0,0,"RB,RW",0,0,0,Premier League,2,0,0,43,0,35,Away,26,89,L 1–2,0,53,2,0,0.0,"<a href=""/en/squads/d07537b9/2023-2024/Brighton-and-Hove-Albion-Stats"">Brighton</a>",0.0,Tottenham,,0,1
Sun,Y,90.9,0,0,4,2024-02-18,0,Matchweek 25,0.0,1,LB,1,0,0,Premier League,1,1,0,33,0,30,Away,27,45,W 5–0,0,38,3,0,0.0,"<a href=""/en/squads/d07537b9/2023-2024/Brighton-and-Hove-Albion-Stats"">Brighton</a>",0.0,Sheffield Utd,,0,0
