dayofweek,game_started,passes_pct,take_ons,shots_on_target,progressive_carries,date,goals,round,npxg,shots,position,blocks,take_ons_won,pens_att,comp,tackles,bench_explain,cards_yellow,pens_made,passes,cards_red,passes_completed,venue,carries,minutes,result,assists,touches,progressive_passes,gca,xg,team,xg_assist,opponent,match_report,sca,interceptions
Sat,Y,63.2,2,2,3,2023-08-12,0,Matchweek 1,0.2,4,RW,0,0,0,Premier League,0,,0,0,38,0,24,Home,30,74,D 1–1,0,49,6,0,0.2,"<a href=""/en/squads/4ba7cbea/2023-2024/Bournemouth-Stats"">Bournemouth</a>",0.0,West Ham,,2,0
Sat,N,90.0,0,0,0,2023-08-19,0,Matchweek 2,0.0,0,RW,0,0,0,Premier League,0,,0,0,10,0,9,Away,4,15,L 1–3,0,11,0,0,0.0,"<a href=""/en/squads/4ba7cbea/2023-2024/Bournemouth-Stats"">Bournemouth</a>",0.3,Liverpool,,4,0
Sat,N,75.0,0,0,1,2023-08-26,0,Matchweek 3,0.0,0,"RW,RM",0,0,0,Premier League,1,,0,0,12,0,9,Home,5,18,L 0–2,0,12,3,0,0.0,"<a href=""/en/squads/4ba7cbea/2023-2024/Bournemouth-Stats"">Bournemouth</a>",0.0,Tottenham,,0,0
Sat,N,50.0,1,1,0,2023-09-02,1,Matchweek 4,1.0,2,"RW,RM",1,1,0,Premier League,0,,0,0,4,0,2,Away,5,31,D 2–2,0,10,0,1,1.0,"<a href=""/en/squads/4ba7cbea/2023-2024/Bournemouth-Stats"">Bournemouth</a>",0.0,Brentford,,1,0
Sun,N,50.0,0,0,0,2023-09-17,0,Matchweek 5,0.0,0,AM,0,0,0,Premier League,0,,0,0,4,0,2,Home,4,2,D 0–0,0,4,1,0,0.0,"<a href=""/en/squads/4ba7cbea/2023-2024/Bournemouth-Stats"">Bournemouth</a>",0.1,Chelsea,,1,0
Sun,N,83.3,0,0,0,2023-09-24,0,Matchweek 6,0.3,1,"RW,DM",0,0,0,Premier League,1,,1,0,6,0,5,Away,4,9,L 1–3,0,8,3,0,0.3,"<a href=""/en/squads/4ba7cbea/2023-2024/Bournemouth-Stats"">Bournemouth</a>",0.1,Brighton,,3,0
Sat,N,,,,,2023-09-30,,Matchweek 7,,,,,,,Premier League,,"On matchday squad, but did not play",,,,,,Home,,,L 0–4,,,,,,"<a href=""/en/squads/4ba7cbea/2023-2024/Bournemouth-Stats"">Bournemouth</a>",,Arsenal,,,
Sat,N,60.0,0,0,1,2023-10-07,0,Matchweek 8,0.0,0,RM,1,0,0,Premier League,0,,0,0,10,0,6,Away,9,24,L 0–3,0,14,0,0,0.0,"<a href=""/en/squads/4ba7cbea/2023-2024/Bournemouth-Stats"">Bournemouth</a>",0.0,Everton,,1,1
Sat,Y,77.3,1,1,0,2023-10-21,0,Matchweek 9,0.0,1,RW,0,0,0,Premier League,2,,0,0,22,0,17,Home,19,56,L 1–2,0,29,3,1,0.0,"<a href=""/en/squads/4ba7cbea/2023-2024/Bournemouth-Stats"">Bournemouth</a>",0.1,Wolves,,2,1
Sat,N,,,,,2023-10-28,,Matchweek 10,,,,,,,Premier League,,"On matchday squad, but did not play",,,,,,Home,,,W 2–1,,,,,,"<a href=""/en/squads/4ba7cbea/2023-2024/Bournemouth-Stats"">Bournemouth</a>",,Burnley,,,
Sat,N,,,,,2023-11-04,,Matchweek 11,,,,,,,Premier League,,"On matchday squad, but did not play",,,,,,Away,,,L 1–6,,,,,,"<a href=""/en/squads/4ba7cbea/2023-2024/Bournemouth-Stats"">Bournemouth</a>",,Manchester City,,,
Sat,N,,,,,2023-11-11,,Matchweek 12,,,,,,,Premier League,,"On matchday squad, but did not play",,,,,,Home,,,W 2–0,,,,,,"<a href=""/en/squads/4ba7cbea/2023-2024/Bournemouth-Stats"">Bournemouth</a>",,Newcastle Utd,,,
Sat,N,100.0,1,0,0,2023-11-25,0,Matchweek 13,0.0,0,"RW,LW",0,0,0,Premier League,0,,0,0,2,0,2,Away,1,9,W 3–1,0,4,1,0,0.0,"<a href=""/en/squads/4ba7cbea/2023-2024/Bournemouth-Stats"">Bournemouth</a>",0.0,Sheffield Utd,,0,0
